DROUGHT.10419	581	273	0.756	0.028956968945
DROUGHT.16930	883	93	0.8431	-0.0898130610475
DROUGHT.19637	1430	519	0.8581	0.150542101194
DROUGHT.2318	1134	195	0.6183	-0.100047876898
DROUGHT.25547	1866	225	1.0136	0.00304939094112
THHALV10000226M.G	1433	1035	1.131	0.153223789862
THHALV10000303M.G	927	729	1.1232	0.121673187566
THHALV10000348M.G	885	528	0.9909	0.104607533314
THHALV10000635M.G	1398	1398	0.9816	0.0777347946707
THHALV10000844M.G	1626	1626	0.8169	0.0705111891856
THHALV10001010M.G	1028	708	0.8518	0.0539351159162
THHALV10001409M.G	1821	1536	0.9533	0.0610331380723
THHALV10001579M.G	1069	852	0.8556	0.0971903882938
THHALV10001642M.G	921	594	0.9769	0.108983620465
THHALV10001664M.G	784	501	1.3095	0.0877451789108
THHALV10001746M.G	333	273	0.7123	0.077834865533
THHALV10002000M.G	1306	1224	0.9814	0.085478378034
THHALV10002046M.G	1284	945	1.2135	0.068827630701
THHALV10002728M.G	707	363	1.1674	0.170238589701
THHALV10003303M.G	583	231	1.1747	0.0975579235545
THHALV10003305M.G	416	219	1.0112	0.106955656914
THHALV10003719M.G	4313	309	0.7272	0.0283638361182
THHALV10004064M.G	1815	1500	1.1003	0.114331975613
THHALV10004080M.G	1532	1482	1.1972	0.118909195197
THHALV10004581M.G	1358	984	1.2669	0.0690944793033
THHALV10004583M.G	1320	984	0.929	0.0849646988702
THHALV10004595M.G	1293	975	1.0415	0.130914455593
THHALV10005009M.G	1203	528	0.9904	0.0989147023788
THHALV10005132M.G	827	378	1.1018	0.197022926911
THHALV10005677M.G	1500	1500	1.0375	0.081302709669
THHALV10005717M.G	786	786	0.6378	0.0677941310574
THHALV10005858M.G	1801	1752	0.8957	0.0600005337331
THHALV10005895M.G	3230	258	0.4944	0.0168697170969
THHALV10005990M.G	1380	1302	1.0874	0.0802247171253
THHALV10006564M.G	4263	4263	0.9845	0.110559744861
